Order ID, Timestamp, Side, Type, Price, Quantity
0,1786742131,0,0,248.58,527
1,1786742131,0,1,249.051,388
2,1786742131,1,1,248.522,174
3,1786742131,0,0,248.912,492
4,1786742131,0,1,248.442,442
5,1786742131,0,1,248.357,154
6,1786742131,1,1,249.595,735
7,1786742131,1,0,248.499,748
8,1786742131,0,1,248.171,932
9,1786742131,0,0,249.56,904
10,1786742131,0,0,250.868,364
11,1786742131,0,1,249.386,719
12,1786742131,0,1,250.339,672
13,1786742131,1,0,249.835,872
14,1786742131,0,0,250.52,779
15,1786742131,1,0,250.032,844
16,1786742131,1,1,248.828,951
17,1786742131,1,1,250.513,829
18,1786742131,1,0,250.231,366
19,1786742131,1,0,250.233,552
20,1786742131,0,0,250.205,974
21,1786742131,1,1,248.455,384
22,1786742131,0,1,249.551,472
23,1786742131,1,0,248.507,560
24,1786742131,1,1,250.099,558
25,1786742131,0,0,248.425,688
26,1786742131,1,1,249.28,309
27,1786742131,0,1,248.46,774
28,1786742131,1,1,248.574,835
29,1786742131,0,0,248.467,529
30,1786742131,1,1,248.839,655
31,1786742131,0,0,250.166,590
32,1786742131,0,1,250.504,152
33,1786742131,0,1,249.279,434
34,1786742131,0,0,249.649,349
35,1786742131,0,0,250.541,394
36,1786742131,0,0,250.949,768
37,1786742131,0,1,248.588,971
38,1786742131,1,1,249.503,198
39,1786742131,1,0,249.718,657
40,1786742131,1,0,250.529,558
41,1786742131,1,0,250.526,46
42,1786742131,1,1,248.942,867
43,1786742131,1,1,248.421,46
44,1786742131,1,0,249.801,509
45,1786742131,0,1,248.005,2
46,1786742131,1,1,248.632,792
47,1786742131,0,0,248.341,908
48,1786742131,1,0,249.63,424
49,1786742131,1,0,250.089,524
50,1786742131,0,1,249.734,469
51,1786742131,1,0,249.512,588
52,1786742131,1,0,248.57,20
53,1786742131,1,0,249.372,735
54,1786742131,0,0,248.283,358
55,1786742131,0,0,250.684,513
56,1786742131,1,1,249.232,625
57,1786742131,1,1,249.355,297
58,1786742131,0,1,250.564,185
59,1786742131,1,1,249.697,305
60,1786742131,1,0,249.665,687
61,1786742131,1,0,249.814,911
62,1786742131,1,0,249.483,637
63,1786742131,1,0,249.861,669
64,1786742131,1,1,249.728,462
65,1786742131,0,1,250.183,418
66,1786742131,0,1,248.945,670
67,1786742131,0,0,248.326,505
68,1786742131,1,0,248.465,723
69,1786742131,1,1,249.923,896
70,1786742131,0,1,249.227,799
71,1786742131,0,0,248.458,596
72,1786742131,1,0,250.48,458
73,1786742131,0,0,248.9,963
74,1786742131,0,1,250.355,207
75,1786742131,1,0,248.217,721
76,1786742131,0,0,248.314,566
77,1786742131,0,1,250.76,79
78,1786742131,1,0,249.478,436
79,1786742131,0,1,249.528,542
80,1786742131,0,0,249.819,962
81,1786742131,0,0,248.302,437
82,1786742131,1,0,250.242,299
83,1786742131,0,1,249.658,713
84,1786742131,1,0,248.53,276
85,1786742131,0,0,250.855,74
86,1786742131,1,1,248.168,966
87,1786742131,0,1,250.593,578
88,1786742131,1,1,248.044,149
89,1786742131,1,1,248.653,164
90,1786742131,0,1,249.023,477
91,1786742131,1,0,250.407,466
92,1786742131,0,1,250.395,540
93,1786742131,0,0,249.207,322
94,1786742131,1,1,248.198,33
95,1786742131,0,0,249.644,399
96,1786742131,1,0,250.424,419
97,1786742131,1,1,250.686,900
98,1786742131,1,0,249.083,99
